"";"requested";"in_data";"use_raw";"use_feature";"exclude";"num_unique";"examples";"type";"total_missing";"missing_F08";"missing_F09";"missing_F10";"missing_F11";"missing_F12";"missing_F13";"missing_F14";"missing_F15";"missing_F16"
"current_units_attempted_grade";TRUE;TRUE;NA;FALSE;FALSE;65;"NA, 12, 16, 13.5, 13";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"current_units_attempted_pnp";TRUE;TRUE;NA;FALSE;FALSE;41;"NA, 0, 4, 8, 1.3";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"current_units_attempted_lowerdiv";TRUE;TRUE;NA;FALSE;FALSE;62;"NA, 0, 4, 8, 5";"numeric";0,947915456298947;0,999980796189964;0,999760076775432;0,999679037111334;0,999090893197433;0,998334586870098;0,997192177972719;0,983627854299562;0,893852968356649;0,739444383199206
"current_units_attempted_upperdiv";TRUE;TRUE;NA;FALSE;FALSE;46;"NA, 8, 16, 12, 4";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"current_units_attempted_graduate";TRUE;TRUE;NA;FALSE;FALSE;10;"NA, 0, 4, 8, 6";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"current_units_attempted_online";TRUE;TRUE;NA;FALSE;FALSE;18;"NA, 4, 0, 8, 1";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"current_units_attempted_oncampus";TRUE;TRUE;NA;FALSE;FALSE;92;"NA, 12, 16, 13.5, 13";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"current_units_completed_graded";TRUE;TRUE;NA;FALSE;FALSE;62;"NA, 12, 16, 13, 0";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"current_units_completed_pnp";TRUE;TRUE;NA;FALSE;FALSE;34;"NA, 0, 4, 8, 1";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"current_units_completed_lowerdiv";TRUE;TRUE;NA;FALSE;FALSE;43;"NA, 0, 4, 8, 5";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"current_units_completed_upperdiv";TRUE;TRUE;NA;FALSE;FALSE;36;"NA, 0, 12, 4, 7";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"current_units_completed_graduate";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1
"current_units_completed_online";TRUE;TRUE;NA;FALSE;FALSE;16;"NA, 0, 4, 8, 2";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"current_units_completed_oncampus";TRUE;TRUE;NA;FALSE;FALSE;76;"NA, 12, 16, 13, 24";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"current_units_completed_transfer";TRUE;TRUE;NA;FALSE;FALSE;1;"0";"numeric";0;0;0;0;0;0;0;0;0;0
"current_units_completed_total";TRUE;TRUE;NA;FALSE;FALSE;88;"12, 14, 13, 15, 17";"numeric";0;0;0;0;0;0;0;0;0;0
"cumulative_units_attempted_grade";TRUE;TRUE;NA;FALSE;FALSE;535;"NA, 168, 160, 176, 144";"numeric";0,919215216936627;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994135140972603;0,972901850402225;0,829642140148497;0,604880939256973
"cumulative_units_attempted_pnp";TRUE;TRUE;NA;FALSE;FALSE;356;"NA, 2.3, 0, 4, 1";"numeric";0,710272826566894;0,801720661379218;0,839404117954982;0,835767301905717;0,809856815678596;0,781812972314745;0,746000099685989;0,701437351143385;0,593926261113413;0,421618344173741
"cumulative_units_attempted_lower";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1
"cumulative_units_attempted_upper";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1
"cumulative_units_attempted_graduate";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cumulative_units_attempted_online";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cumulative_units_attempted_oncampus";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cumulative_units_attempted_total";TRUE;TRUE;NA;FALSE;FALSE;1446;"NA, 170.3, 160, 176, 144";"numeric";0,919269441410456;0,999615923799282;0,999323852730763;0,999338014042126;0,997902061224847;0,997081050105655;0,994168369635648;0,97291850568778;0,829689939772474;0,605142762650204
"cumulative_units_completed_graded";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cumulative_units_completed_pnp";TRUE;TRUE;NA;FALSE;FALSE;317;"NA, 2.3, 0, 4, 1";"numeric";0,710272826566894;0,801720661379218;0,839404117954982;0,835767301905717;0,809856815678596;0,781812972314745;0,746000099685989;0,701437351143385;0,593926261113413;0,421618344173741
"cumulative_units_completed_lowerdiv";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cumulative_units_completed_upperdiv";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cumulative_units_completed_graduate";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cumulative_units_completed_online";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cumulative_units_completed_oncampus";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cumulative_units_completed_transfer";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"cumulative_units_completed_total";TRUE;TRUE;NA;FALSE;FALSE;3031;"174.3, 136.3, 150.3, 46.299999, 79.300003";"numeric";0;0;0;0;0;0;0;0;0;0
"total_terms_enrolled_excluding_summer";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"total_terms_enrolled_including_summer";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"gpa_term";TRUE;TRUE;NA;FALSE;FALSE;396;"3.6700001, 3.23, 3.5, 3.0999999, 3.3599999";"numeric";0;0;0;0;0;0;0;0;0;0
"gpa_cumulative";TRUE;TRUE;NA;FALSE;FALSE;390;"3.3199999, 3.24, 3.28, 3.25, 3.3599999";"numeric";0;0;0;0;0;0;0;0;0;0
"major_code_1";TRUE;TRUE;NA;FALSE;FALSE;106;"201, 000, 005, 16A, 867";"character";0;0;0;0;0;0;0;0;0;0
"major_name_1";TRUE;TRUE;NA;FALSE;FALSE;106;"COMPUTER SCIENCE, UNDECLARED, UNAFFILIATED, CHICANO/LATINO STUDIES, SOCIOLOGY";"character";0;0;0;0;0;0;0;0;0;0
"major_name_abbrev_1";TRUE;TRUE;NA;FALSE;FALSE;158;"CmptSci, Chc/Lat, Sociol, Bio Sci, BIM";"character";0,0034142052628725;0,0251569911470436;0,00846274646658524;8,02407221664995e-05;0,000139862585010227;0,000286522689015436;0,000116300320656598;0,00019986342665845;0,000159332079920971;0,000110241428728916
"major_school_code_1";TRUE;TRUE;NA;FALSE;FALSE;16;"95, 65, 55, 77, 60";"character";0,0034142052628725;0,0251569911470436;0,00846274646658524;8,02407221664995e-05;0,000139862585010227;0,000286522689015436;0,000116300320656598;0,00019986342665845;0,000159332079920971;0,000110241428728916
"major_school_name_1";TRUE;TRUE;NA;FALSE;FALSE;16;"School of Info & Computer Sci, School of Social Sciences, School of Biological Sciences, School of Engineering, School of Humanities";"character";0,0034142052628725;0,0251569911470436;0,00846274646658524;8,02407221664995e-05;0,000139862585010227;0,000286522689015436;0,000116300320656598;0,00019986342665845;0,000159332079920971;0,000110241428728916
"major_school_name_abbrev_1";TRUE;TRUE;NA;FALSE;FALSE;18;"ICS, Soc Sci, Bio Sci, Engr, Humanities";"character";0,0034142052628725;0,0251569911470436;0,00846274646658524;8,02407221664995e-05;0,000139862585010227;0,000286522689015436;0,000116300320656598;0,00019986342665845;0,000159332079920971;0,000110241428728916
"major_subcampus_1";TRUE;TRUE;NA;FALSE;FALSE;3;"General campus, Health science, NA";"character";0,0034142052628725;0,0251569911470436;0,00846274646658524;8,02407221664995e-05;0,000139862585010227;0,000286522689015436;0,000116300320656598;0,00019986342665845;0,000159332079920971;0,000110241428728916
"major_funding_1";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1
"major_cip_code_1";TRUE;TRUE;NA;FALSE;FALSE;90;"11.0701, 05.0203, 45.1101, 26.0101, 52.1206";"character";0,00346842973670145;0,0251761949570795;0,00846274646658524;8,02407221664995e-05;0,000157345408136506;0,000304430357078901;0,000149528983701341;0,000216518712213321;0,000207131703897263;0,000372064821960093
"major_cip_code_historical_1";TRUE;TRUE;NA;FALSE;FALSE;98;"11.0701, 05.0203, 45.1101, 26.0101, 52.1206";"character";0,00346842973670145;0,0251761949570795;0,00846274646658524;8,02407221664995e-05;0,000157345408136506;0,000304430357078901;0,000149528983701341;0,000216518712213321;0,000207131703897263;0,000372064821960093
"major_cip_name_1";TRUE;TRUE;NA;FALSE;FALSE;90;"Computer Science, Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies, Sociology, Biology/Biological Sciences, General, Information Resource Management";"character";0,00346842973670145;0,0251761949570795;0,00846274646658524;8,02407221664995e-05;0,000157345408136506;0,000304430357078901;0,000149528983701341;0,000216518712213321;0,000207131703897263;0,000372064821960093
"major_cip_series_code_1";TRUE;TRUE;NA;FALSE;FALSE;21;"11, 05, 45, 26, 52";"character";0,00346842973670145;0,0251761949570795;0,00846274646658524;8,02407221664995e-05;0,000157345408136506;0,000304430357078901;0,000149528983701341;0,000216518712213321;0,000207131703897263;0,000372064821960093
"major_cip_series_name_1";TRUE;TRUE;NA;FALSE;FALSE;22;"Computer and Information Sciences and Support Services, Area, Ethnic, Cultural, Gender, and Group Studies, Social Sciences, Biological and Biomedical Sciences, Business, Management, Marketing, and Related Support Services";"character";0,00346842973670145;0,0251761949570795;0,00846274646658524;8,02407221664995e-05;0,000157345408136506;0,000304430357078901;0,000149528983701341;0,000216518712213321;0,000207131703897263;0,000372064821960093
"major_cip_category_code_1";TRUE;TRUE;NA;FALSE;FALSE;69;"11.07, 05.02, 45.11, 26.01, 52.12";"character";0,00346842973670145;0,0251761949570795;0,00846274646658524;8,02407221664995e-05;0,000157345408136506;0,000304430357078901;0,000149528983701341;0,000216518712213321;0,000207131703897263;0,000372064821960093
"major_cip_category_name_1";TRUE;TRUE;NA;FALSE;FALSE;69;"Computer Science, Ethnic, Cultural Minority, Gender, and Group Studies, Sociology, Biology, General, Management Information Systems and Services";"character";0,00346842973670145;0,0251761949570795;0,00846274646658524;8,02407221664995e-05;0,000157345408136506;0,000304430357078901;0,000149528983701341;0,000216518712213321;0,000207131703897263;0,000372064821960093
"major_stem_1";TRUE;TRUE;NA;FALSE;FALSE;3;"1, 0, NA";"numeric";0,0034142052628725;0,0251569911470436;0,00846274646658524;8,02407221664995e-05;0,000139862585010227;0,000286522689015436;0,000116300320656598;0,00019986342665845;0,000159332079920971;0,000110241428728916
"major_degree_granting_1";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, 1, 0";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"major_graduated_1";TRUE;TRUE;NA;FALSE;FALSE;147;"NA, Computer Science, SOCIOLOGY, Biological Sciences, Business Info Mgmt";"character";0,902940128434539;0,933362779175388;0,950248647705462;0,932477432296891;0,881781150020105;0,895150603488414;0,887620661582681;0,888709381922353;0,889853733150633;0,889400286627715
"major_code_2";TRUE;TRUE;NA;FALSE;FALSE;94;"NA, 867, 7A1, 141, 201";"character";0,920690897260115;0,920477022641292;0,932298028267318;0,921664994984955;0,919893704435392;0,925736900540812;0,920284437355663;0,917273196648957;0,918198910168573;0,914907397199868
"major_name_2";TRUE;TRUE;NA;FALSE;FALSE;94;"NA, SOCIOLOGY, PUBLIC HEALTH POLICY, BUSINESS ADMINISTRATION, COMPUTER SCIENCE";"character";0,920690897260115;0,920477022641292;0,932298028267318;0,921664994984955;0,919893704435392;0,925736900540812;0,920284437355663;0,917273196648957;0,918198910168573;0,914907397199868
"major_name_abbrev_2";TRUE;TRUE;NA;FALSE;FALSE;93;"NA, Sociol, P H Pol, Bus Adm, CmptSci";"character";0,9221627044069;0,933036314404778;0,93426103646833;0,921785356068205;0,919893704435392;0,925808531213065;0,920317666018708;0,917289851934511;0,918198910168573;0,914948737735641
"major_school_code_2";TRUE;TRUE;NA;FALSE;FALSE;13;"NA, 65, 96, 87, 95";"numeric";0,9221627044069;0,933036314404778;0,93426103646833;0,921785356068205;0,919893704435392;0,925808531213065;0,920317666018708;0,917289851934511;0,918198910168573;0,914948737735641
"major_school_name_2";TRUE;TRUE;NA;FALSE;FALSE;13;"NA, School of Social Sciences, Program in Public Health, School of Business, School of Info & Computer Sci";"character";0,9221627044069;0,933036314404778;0,93426103646833;0,921785356068205;0,919893704435392;0,925808531213065;0,920317666018708;0,917289851934511;0,918198910168573;0,914948737735641
"major_school_name_abbrev_2";TRUE;TRUE;NA;FALSE;FALSE;14;"NA, Soc Sci, PubHlth, Business, ICS";"character";0,9221627044069;0,933036314404778;0,93426103646833;0,921785356068205;0,919893704435392;0,925808531213065;0,920317666018708;0,917289851934511;0,918198910168573;0,914948737735641
"major_subcampus_2";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, General campus, Health science";"character";0,9221627044069;0,933036314404778;0,93426103646833;0,921785356068205;0,919893704435392;0,925808531213065;0,920317666018708;0,917289851934511;0,918198910168573;0,914948737735641
"major_funding_2";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1
"major_cip_code_2";TRUE;TRUE;NA;FALSE;FALSE;68;"NA, 45.1101, 51.2299, 11.0701, 45.0601";"numeric";0,98795442045657;1;0,999978188797767;0,999939819458375;0,999895103061242;0,999910461659683;0,999784013690209;0,994570376909112;0,972308084509735;0,943115422775879
